BUKRS,WERKS,LIFNR,BSART,MBLNR,MATNR,MAKTX,MENGE,MEINS,NETPR,PEINH,WAERS,BLDAT,BKTXT,KOSTL
GB01,1000,VENDOR-042,NB,4900012301,MAT-DIESEL-001,Diesel fuel for plant vehicles,850,L,1.42,1,GBP,20231102,Monthly fuel top-up Oct 2023,CC-OPS-01
GB01,2000,VENDOR-042,NB,4900012302,MAT-DIESEL-001,Diesel fuel for plant vehicles,1200,L,1.42,1,GBP,20231105,Monthly fuel top-up Oct 2023,CC-OPS-02
GB01,3000,VENDOR-019,NB,4900012303,MAT-PETROL-001,Unleaded petrol — fleet,320,L,1.55,1,GBP,20231108,Fleet petrol Oct,CC-FLEET-01
GB01,1000,VENDOR-031,NB,4900012304,MAT-GAS-001,Natural gas — site heating,4500,M3,0.085,1,GBP,20231110,Q4 heating gas,CC-FAC-01
GB01,2000,VENDOR-042,NB,4900012305,MAT-DIESEL-001,Diesel fuel for generators,2800,L,1.44,1,GBP,20231115,Generator fuel Nov,CC-OPS-02
GB01,4000,VENDOR-019,NB,4900012306,MAT-PETROL-001,Unleaded petrol — fleet,180,L,1.57,1,GBP,20231118,Glasgow fleet Nov,CC-FLEET-04
GB01,1000,VENDOR-077,NB,4900012307,MAT-LPG-001,LPG forklift fuel,650,L,0.72,1,GBP,20231120,Forklift LPG,CC-WH-01
GB01,2000,VENDOR-031,NB,4900012308,MAT-GAS-001,Natural gas — site heating,6200,M3,0.083,1,GBP,20231201,Dec heating,CC-FAC-02
GB01,3000,VENDOR-042,NB,4900012309,MAT-DIESEL-001,Diesel fuel for plant vehicles,970,L,1.45,1,GBP,20231205,Dec fuel,CC-OPS-03
GB01,1000,VENDOR-099,NB,4900012310,MAT-OFFICE-001,Office stationery and supplies,,,GBP,20231206,Stationery Q4,CC-ADMIN-01
GB01,2000,VENDOR-042,NB,4900012311,MAT-DIESEL-001,Diesel — delivery vehicles,3400,L,1.46,1,GBP,20231210,Delivery fleet Dec,CC-FLEET-02
GB01,1000,VENDOR-031,NB,4900012312,MAT-GAS-001,Natural gas,52000,M3,0.085,1,GBP,20231215,Unusual Dec gas spike,CC-FAC-01
GB01,4000,VENDOR-042,NB,4900012313,MAT-DIESEL-001,Diesel fuel,220,L,1.48,1,GBP,20231218,Glasgow generators,CC-OPS-04
GB01,1000,VENDOR-019,NB,4900012314,MAT-PETROL-001,Unleaded petrol — exec cars,95,L,1.59,1,GBP,20231220,Exec fleet Dec,CC-EXEC-01
GB01,2000,VENDOR-077,NB,4900012315,MAT-LPG-001,LPG forklift fuel,480,L,0.74,1,GBP,20231222,LPG top-up,CC-WH-02
GB01,3000,VENDOR-042,NB,4900012316,MAT-DIESEL-001,Diesel fuel for plant,1100,L,1.47,1,GBP,20240103,Jan fuel,CC-OPS-03
GB01,1000,VENDOR-031,NB,4900012317,MAT-GAS-001,Natural gas,4800,M3,0.086,1,GBP,20240108,Jan heating,CC-FAC-01
GB01,2000,VENDOR-042,NB,4900012318,MAT-DIESEL-001,Diesel — fleet,1850,L,1.45,1,GBP,20240112,Fleet Jan,CC-FLEET-02
GB01,1000,VENDOR-042,NB,,MAT-DIESEL-001,Diesel fuel,750,L,1.43,1,GBP,,Missing doc date and number — should fail validation,CC-OPS-01
GB01,9999,VENDOR-042,NB,4900012320,MAT-DIESEL-001,Diesel fuel,600,L,1.44,1,GBP,20240115,Unknown plant code,CC-OPS-99
