meter_id,site_name,billing_period_start,billing_period_end,consumption_kwh,peak_kwh,off_peak_kwh,demand_kw,tariff_name,unit_rate,standing_charge,total_amount,currency,meter_read_type
MPAN-001,London HQ,2023-10-17,2023-11-16,48250,31200,17050,142.5,Half Hourly Fixed 2023,0.2841,18.50,13729.43,GBP,ACTUAL
MPAN-002,Manchester Plant,2023-10-20,2023-11-19,112400,74100,38300,385.0,Half Hourly Variable Oct,0.2765,22.00,31112.60,GBP,ACTUAL
MPAN-003,Birmingham Depot,2023-10-14,2023-11-14,19870,,,,Standard Variable,0.2910,12.75,5797.77,GBP,ESTIMATED
MPAN-001,London HQ,2023-11-17,2023-12-16,52100,34500,17600,155.0,Half Hourly Fixed 2023,0.2841,18.50,14818.31,GBP,ACTUAL
MPAN-002,Manchester Plant,2023-11-20,2023-12-19,118600,79200,39400,402.0,Half Hourly Variable Nov,0.2788,22.00,33092.88,GBP,ACTUAL
MPAN-003,Birmingham Depot,2023-11-15,2023-12-15,21340,,,,Standard Variable,0.2910,12.75,6222.69,GBP,ACTUAL
MPAN-001,London HQ,2023-12-17,2024-01-17,61800,42100,19700,178.0,Half Hourly Fixed 2023,0.2841,18.50,17574.98,GBP,ACTUAL
MPAN-002,Manchester Plant,2023-12-20,2024-01-19,5800000,,,,Half Hourly Variable Dec,0.2765,22.00,1603992.00,GBP,ACTUAL
MPAN-003,Birmingham Depot,2023-12-16,2024-01-16,23100,,,,Standard Variable,0.2910,12.75,6733.85,GBP,ESTIMATED
MPAN-001,London HQ,2024-01-18,2024-02-16,55400,36800,18600,162.0,Half Hourly Fixed 2024,0.2756,19.00,15286.24,GBP,ACTUAL
MPAN-002,Manchester Plant,2024-01-20,2024-02-19,109800,72400,37400,375.0,Half Hourly Variable Jan,0.2720,22.00,29896.60,GBP,ACTUAL
MPAN-003,Birmingham Depot,2024-01-17,2024-02-16,-850,,,,Standard Variable,0.2910,12.75,,GBP,ACTUAL
